year,month,n,s
1980,1,2193,1930
1980,2,2175,2128
1980,3,1432,1813
1980,4,1420,1595
1980,5,1220,3252
1980,6,1469,2317
1980,7,1314,1631
1980,8,1135,894
1980,9,1864,1504
1980,10,1635,1371
1980,11,2174,1537
1980,12,2267,2067
1981,1,1586,1698
1981,2,1819,1510
1981,3,2146,1484
1981,4,3398,819
1981,5,2847,1093
1981,6,997,1056
1981,7,1646,3001
1981,8,1317,2769
1981,9,2794,2221
1981,10,1446,3055
1981,11,1665,1932
1981,12,2521,2425
1982,1,1878,2074
1982,2,1566,3018
1982,3,2219,2493
1982,4,2215,1355
1982,5,1191,1847
1982,6,1949,1423
1982,7,1043,771
1982,8,1926,1410
1982,9,1218,1215
1982,10,1657,1529
1982,11,743,1492
1982,12,1299,2526
1983,1,799,1495
1983,2,360,1236
1983,3,170,1593
1983,4,332,1428
1983,5,724,2677
1983,6,817,1615
1983,7,417,1325
1983,8,350,1543
1983,9,317,696
1983,10,771,649
1983,11,185,770
1983,12,400,619
1984,1,803,841
1984,2,848,1540
1984,3,758,1620
1984,4,398,1640
1984,5,748,1400
1984,6,236,756
1984,7,379,608
1984,8,341,423
1984,9,137,314
1984,10,138,26
1984,11,151,377
1984,12,167,307
1985,1,69,348
1985,2,222,158
1985,3,147,112
1985,4,375,94
1985,5,288,318
1985,6,12,413
1985,7,199,556
1985,8,61,122
1985,9,0,99
1985,10,451,42
1985,11,111,270
1985,12,189,152
1986,1,0,74
1986,2,0,792
1986,3,175,216
1986,4,188,163
1986,5,268,48
1986,6,0,11
1986,7,201,80
1986,8,215,25
1986,9,117,0
1986,10,532,300
1986,11,245,147
1986,12,62,112
1987,1,128,152
1987,2,72,22
1987,3,256,117
1987,4,269,830
1987,5,458,322
1987,6,364,155
1987,7,179,544
1987,8,269,849
1987,9,171,622
1987,10,660,568
1987,11,175,926
1987,12,75,647
1988,1,484,1048
1988,2,632,228
1988,3,727,551
1988,4,1163,888
1988,5,404,837
1988,6,1068,899
1988,7,1070,1164
1988,8,1673,752
1988,9,1003,1003
1988,10,1427,1027
1988,11,2146,1077
1988,12,3586,2403
1989,1,2074,2244
1989,2,1673,1612
1989,3,2331,1317
1989,4,1365,1728
1989,5,490,695
1989,6,1238,1543
1989,7,1510,1263
1989,8,2131,1807
1989,9,1564,958
1989,10,1706,2121
1989,11,2082,1050
1989,12,1388,912
