year,month,n,s
1990,1,1895,2745
1990,2,1042,874
1990,3,1517,2289
1990,4,2259,2283
1990,5,2094,2038
1990,6,1182,1102
1990,7,1531,1497
1990,8,2684,3181
1990,9,1383,1428
1990,10,1447,1651
1990,11,1660,1764
1990,12,2810,2078
1991,1,1731,3303
1991,2,1276,3115
1991,3,690,2918
1991,4,1498,1547
1991,5,1425,1574
1991,6,2036,1921
1991,7,1608,1201
1991,8,2186,3331
1991,9,949,1740
1991,10,1017,1834
1991,11,770,1512
1991,12,965,2678
1992,1,1317,2689
1992,2,2036,2645
1992,3,998,1396
1992,4,798,1936
1992,5,630,1049
1992,6,1042,545
1992,7,1250,1046
1992,8,1223,1026
1992,9,693,1175
1992,10,958,1511
1992,11,708,2129
1992,12,818,1979
1993,1,343,1046
1993,2,1453,1536
1993,3,1319,1253
1993,4,736,1316
1993,5,1318,473
1993,6,512,342
1993,7,455,658
1993,8,549,404
1993,9,342,331
1993,10,559,783
1993,11,605,349
1993,12,828,686
1994,1,1616,683
1994,2,920,367
1994,3,363,671
1994,4,421,96
1994,5,416,238
1994,6,215,377
1994,7,444,652
1994,8,306,536
1994,9,265,538
1994,10,746,664
1994,11,258,486
1994,12,35,769
1995,1,228,500
1995,2,284,819
1995,3,166,808
1995,4,110,318
1995,5,122,209
1995,6,352,43
1995,7,184,50
1995,8,446,161
1995,9,330,48
1995,10,229,509
1995,11,92,261
1995,12,56,250
1996,1,313,23
1996,2,209,27
1996,3,185,131
1996,4,68,31
1996,5,12,199
1996,6,292,11
1996,7,47,165
1996,8,184,251
1996,9,11,52
1996,10,0,15
1996,11,172,410
1996,12,242,250
1997,1,56,129
1997,2,195,129
1997,3,134,118
1997,4,174,210
1997,5,523,160
1997,6,240,117
1997,7,172,48
1997,8,775,233
1997,9,695,668
1997,10,669,216
1997,11,776,578
1997,12,864,410
1998,1,352,637
1998,2,151,524
1998,3,424,1767
1998,4,273,1145
1998,5,755,730
1998,6,738,901
1998,7,859,1249
1998,8,1433,975
1998,9,1419,1168
1998,10,578,425
1998,11,1464,1289
1998,12,2217,1415
1999,1,1498,829
1999,2,1399,907
1999,3,1363,761
1999,4,964,1056
1999,5,2160,1498
1999,6,2464,1539
1999,7,1731,1457
1999,8,1990,2138
1999,9,1209,615
1999,10,2193,1477
1999,11,2268,2166
1999,12,1868,1278
