year,month,n,s
1970,1,809,3191
1970,2,1095,2553
1970,3,1154,1285
1970,4,1190,1412
1970,5,1759,1920
1970,6,1106,708
1970,7,2066,1335
1970,8,1981,898
1970,9,1784,687
1970,10,1403,452
1970,11,2308,1169
1970,12,1502,888
1971,1,1711,1142
1971,2,1415,1205
1971,3,584,1163
1971,4,1389,1362
1971,5,1625,265
1971,6,604,730
1971,7,1401,1399
1971,8,715,1104
1971,9,306,550
1971,10,748,217
1971,11,645,1583
1971,12,1131,1741
1972,1,493,1253
1972,2,952,1311
1972,3,1087,1411
1972,4,556,1294
1972,5,912,1275
1972,6,875,1470
1972,7,931,951
1972,8,1073,1130
1972,9,788,1171
1972,10,376,1784
1972,11,125,1100
1972,12,625,603
1973,1,846,425
1973,2,537,423
1973,3,672,878
1973,4,450,1078
1973,5,460,813
1973,6,444,396
1973,7,190,228
1973,8,561,332
1973,9,881,638
1973,10,386,410
1973,11,202,557
1973,12,236,371
1974,1,353,752
1974,2,171,424
1974,3,274,259
1974,4,103,848
1974,5,95,936
1974,6,316,581
1974,7,0,790
1974,8,162,1068
1974,9,530,562
1974,10,499,320
1974,11,634,50
1974,12,447,58
1975,1,450,98
1975,2,150,108
1975,3,95,237
1975,4,54,0
1975,5,23,123
1975,6,126,95
1975,7,428,360
1975,8,822,133
1975,9,350,116
1975,10,239,25
1975,11,287,362
1975,12,127,123
1976,1,22,344
1976,2,11,58
1976,3,402,522
1976,4,278,255
1976,5,170,168
1976,6,254,108
1976,7,25,35
1976,8,243,248
1976,9,205,189
1976,10,378,444
1976,11,147,0
1976,12,322,278
1977,1,380,315
1977,2,368,454
1977,3,259,39
1977,4,75,343
1977,5,296,300
1977,6,475,579
1977,7,681,237
1977,8,718,291
1977,9,1258,262
1977,10,1458,423
1977,11,712,304
1977,12,727,922
1978,1,1032,770
1978,2,2288,879
1978,3,1907,1192
1978,4,2162,1144
1978,5,1843,973
1978,6,1671,794
1978,7,1794,852
1978,8,1020,974
1978,9,2107,1414
1978,10,1916,2098
1978,11,1256,1842
1978,12,1871,2871
1979,1,2997,3495
1979,2,2440,2299
1979,3,2250,2347
1979,4,1660,1040
1979,5,2567,1619
1979,6,2243,1397
1979,7,3027,1785
1979,8,2297,1684
1979,9,3062,1386
1979,10,3737,1942
1979,11,2595,2828
1979,12,1818,3555
