year,month,n,s
2000,1,1279,1462
2000,2,1600,2597
2000,3,1976,3099
2000,4,1862,2364
2000,5,1792,1827
2000,6,1952,1096
2000,7,3304,2892
2000,8,3015,2311
2000,9,1529,1111
2000,10,1391,1607
2000,11,2162,1347
2000,12,2129,1275
2001,1,1869,1264
2001,2,1200,1175
2001,3,1582,1569
2001,4,1942,2150
2001,5,2122,1191
2001,6,2617,1514
2001,7,1593,1746
2001,8,1779,1921
2001,9,2243,2663
2001,10,2558,2240
2001,11,2289,2062
2001,12,3183,3552
2002,1,1907,2538
2002,2,1406,2180
2002,3,1399,2070
2002,4,1998,1636
2002,5,1925,2072
2002,6,879,1670
2002,7,1353,2683
2002,8,1216,2682
2002,9,1132,1481
2002,10,2090,1342
2002,11,1083,2015
2002,12,1109,1331
2003,1,604,2283
2003,2,753,1076
2003,3,1303,1181
2003,4,802,1073
2003,5,544,1262
2003,6,1084,545
2003,7,1323,981
2003,8,888,1361
2003,9,696,1188
2003,10,1012,1559
2003,11,851,1165
2003,12,875,829
2004,1,491,1147
2004,2,751,1122
2004,3,507,1294
2004,4,284,1117
2004,5,138,913
2004,6,344,855
2004,7,1227,1036
2004,8,798,1082
2004,9,461,678
2004,10,725,988
2004,11,854,1125
2004,12,280,578
2005,1,754,660
2005,2,274,860
2005,3,297,565
2005,4,307,822
2005,5,384,1251
2005,6,324,939
2005,7,719,450
2005,8,665,562
2005,9,224,772
2005,10,79,177
2005,11,13,758
2005,12,707,839
2006,1,224,383
2006,2,44,84
2006,3,70,345
2006,4,11,991
2006,5,207,605
2006,6,86,319
2006,7,165,285
2006,8,0,559
2006,9,22,416
2006,10,0,312
2006,11,60,728
2006,12,107,325
2007,1,182,611
2007,2,0,469
2007,3,53,114
2007,4,0,117
2007,5,169,296
2007,6,0,466
2007,7,12,244
2007,8,13,239
2007,9,16,58
2007,10,0,33
2007,11,55,0
2007,12,60,409
2008,1,26,95
2008,2,0,45
2008,3,0,396
2008,4,26,68
2008,5,53,62
2008,6,0,95
2008,7,0,38
2008,8,0,0
2008,9,27,0
2008,10,88,23
2008,11,134,0
2008,12,0,27
2009,1,49,0
2009,2,0,11
2009,3,11,12
2009,4,0,24
2009,5,50,12
2009,6,63,42
2009,7,0,96
2009,8,0,0
2009,9,99,61
2009,10,133,0
2009,11,121,0
2009,12,286,144
