year,month,n,s
1954,1,0,0
1954,2,12,0
1954,3,0,166
1954,4,0,11
1954,5,0,0
1954,6,0,0
1954,7,47,0
1954,8,111,163
1954,9,13,0
1954,10,83,22
1954,11,143,60
1954,12,100,13
1955,1,400,202
1955,2,313,89
1955,3,26,57
1955,4,224,11
1955,5,482,120
1955,6,240,273
1955,7,485,241
1955,8,837,393
1955,9,537,392
1955,10,744,331
1955,11,1450,1024
1955,12,1042,691
1956,1,678,495
1956,2,1291,939
1956,3,554,431
1956,4,1414,920
1956,5,1040,1103
1956,6,1113,1005
1956,7,1597,1015
1956,8,1871,1365
1956,9,1702,1520
1956,10,825,894
1956,11,1339,2331
1956,12,1814,2041
1957,1,1639,1356
1957,2,1151,1579
1957,3,1638,1985
1957,4,888,1844
1957,5,1311,2047
1957,6,858,1401
1957,7,1550,1400
1957,8,1901,1474
1957,9,1440,906
1957,10,2777,1981
1957,11,2087,2176
1957,12,2105,2335
1958,1,2105,1913
1958,2,1562,2304
1958,3,2798,1735
1958,4,2465,1630
1958,5,1461,1244
1958,6,2510,1358
1958,7,1993,1578
1958,8,1222,1008
1958,9,1372,1597
1958,10,958,1363
1958,11,1045,942
1958,12,1682,1438
1959,1,1679,429
1959,2,1608,302
1959,3,2150,779
1959,4,1396,395
1959,5,408,190
1959,6,1005,431
1959,7,2670,446
1959,8,3986,1439
1959,9,1818,1170
1959,10,1097,728
1959,11,1448,544
1959,12,1492,175
