Kandilli Observatory

                            FLARE INDEX OF SOLAR ACTIVITY

                                      FULL DISK

2016

-----------------------------------------------------------------------------------------------------
Day     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
=====================================================================================================
1	0.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00
2	0.08	0.67	0.00	0.00	0.17	0.00	0.00	0.00	1.40	0.48	0.00	0.00
3	0.15	1.02	0.00	0.00	0.23	0.00	0.23	0.00	0.58	0.17	0.00	0.00
4	0.00	2.75	0.48	0.04	1.69	0.00	0.00	0.15	0.60	0.00	0.00	1.44
5	0.00	0.31	0.42	0.10	0.10	0.00	0.00	1.46	0.35	0.83	0.00	0.54

6	0.00	2.27	0.60	0.00	0.83	0.00	0.00	0.00	0.27	0.44	0.00	0.00
7	0.10	3.85	0.00	0.00	2.56	0.00	0.54	1.44	0.00	0.00	0.00	0.00
8	0.38	1.04	0.10	0.00	0.00	0.00	0.38	12.10	0.17	0.00	0.00	0.00
9	0.00	0.98	0.00	2.50	1.58	1.06	1.54	1.27	0.75	0.00	0.00	0.00
10	0.00	1.21	0.00	0.50	0.40	0.17	0.98	0.13	0.81	0.00	0.00	0.00

11	0.06	4.23	0.00	1.94	0.27	0.54	0.21	0.85	0.00	0.04	0.00	0.27
12	0.63	2.81	0.25	0.17	0.29	0.00	1.13	1.08	0.00	0.38	0.06	0.00
13	0.00	3.44	0.17	0.40	2.08	0.77	1.15	0.00	0.00	0.04	0.15	0.00
14	0.35	2.08	0.50	1.58	2.60	0.00	0.00	0.63	0.00	0.35	0.15	0.00
15	0.27	12.25	0.69	4.48	7.31	0.00	3.42	0.00	0.00	0.00	0.17	0.15

16	0.00	0.17	0.00	2.60	3.92	1.42	5.92	0.33	0.00	0.73	0.00	0.00
17	0.00	1.83	0.00	1.19	0.00	0.10	9.75	0.21	0.19	0.00	0.00	0.00
18	0.00	0.19	0.73	1.04	0.00	0.40	5.19	0.00	4.15	0.06	0.00	0.00
19	0.52	0.00	0.08	0.35	0.00	0.00	5.88	0.00	0.73	0.00	0.21	0.00
20	1.85	0.00	0.08	0.00	0.44	0.00	3.83	0.33	1.10	0.08	0.00	0.00

21	0.00	0.65	0.00	0.00	0.77	0.00	2.29	0.00	1.98	0.06	0.00	0.00
22	0.15	0.33	0.00	0.00	0.33	0.00	1.77	0.65	0.00	0.00	0.00	0.00
23	0.21	0.00	0.00	0.00	0.23	0.00	14.25	0.00	0.00	0.00	0.06	0.00
24	0.58	0.63	0.00	0.00	0.96	0.00	0.63	0.00	0.44	0.00	0.00	0.00
25	1.77	0.15	0.15	0.00	0.67	0.00	0.00	0.00	1.13	0.00	0.00	0.00

26	0.67	0.48	0.10	1.71	0.88	0.54	0.00	2.27	0.75	0.00	0.00	0.00
27	2.85	0.83	0.42	1.81	0.00	0.88	0.00	0.00	2.79	0.00	0.00	1.08
28	1.52	0.00	0.38	1.58	0.56	0.00	0.00	0.31	0.60	0.00	2.00	0.00
29	0.94	0.46	0.00	0.54	0.31	0.00	0.00	2.52	0.00	0.00	3.06	0.00
30	0.00		0.00	0.23	1.35	0.00	0.44	0.13	0.00	0.00	1.83	0.00
31	0.00		0.00		0.00		0.00	0.54		0.00		0.00
-----------------------------------------------------------------------------------------------------
Mean	0.44	1.54	0.17	0.76	0.99	0.20	1.92	0.85	0.69	0.12	0.26	0.11
-----------------------------------------------------------------------------------------------------
Yearly Mean =	0.67
