date,time,ng,nf,sg,sf,remarks
1,,,,,,M
2,3:58,0,0,0,0,
3,3:39,0,0,1,3,
4,,,,,,R
5,5:10,1,6,0,0,
6,6:30,1,3,1,1,
7,1:55,0,0,0,0,
8,3:45,0,0,0,0,
9,1:12,0,0,0,0,
10,2:32,0,0,1,1,
11,5:10,0,0,1,3,
12,2:11,0,0,1,1,
13,2:29,0,0,1,1,
14,2:55,0,0,1,7,
15,2:20,0,0,1,6,
16,2:36,0,0,1,10,
17,3:20,0,0,1,19,
18,,,,,,M
19,4:08,0,0,3,29,
20,2:32,1,3,3,28,
21,2:23,2,18,3,28,
22,,,,,,S
23,,,,,,C
24,2:41,1,32,3,17,
25,4:18,1,26,3,14,
26,2:49,1,16,2,11,
27,1:38,1,9,1,5,
28,2:00,1,3,2,4,
29,0:53,1,2,1,2,
30,,,,,,M
31,,,,,,M
