date,time,ng,nf,sg,sf,remarks
1,,,,,,C
2,3:10,0,0,5,35,
3,2:44,0,0,6,29,
4,3:46,0,0,4,20,
5,2:12,0,0,2,17,
6,3:34,0,0,3,20,
7,2:00,0,0,5,28,
8,3:20,0,0,3,33,
9,4:04,0,0,3,41,
10,,,,,,C-R
11,,,,,,C
12,,,,,,C
13,2:09,1,3,5,27,
14,3:10,1,2,4,19,
15,,,,,,R
16,,,,,,R
17,,,,,,R
18,0:52,1,9,3,40,
19,,,,,,R
20,4:01,2,10,6,34,
21,3:11,2,14,5,27,
22,,,,,,R
23,4:15,2,15,3,23,
24,-8,2,11,6,41,
25,2:35,3,14,5,47,
26,3:33,3,15,4,51,
27,2:45,3,10,4,47,
28,,,,,,C-R
29,,,,,,C
30,5:00,2,9,6,29,
