date,time,ng,nf,sg,sf,remarks
1,,,,,,R
2,,,,,,C
3,,,,,,C
4,12:20,9,80,2,5,
5,15:50,6,54,1,1,
6,,,,,,M
7,,,,,,M
8,7:50,6,72,2,3,
9,7:30,5,68,2,7,
10,,,,,,C
11,,,,,,R
12,12:50,5,39,3,25,
13,12:45,8,69,2,35,
14,,,,,,R
15,,,,,,C
16,9:50,8,99,1,8,
17,10:10,8,113,1,6,
18,,,,,,R
19,,,,,,M
20,15:25,10,87,1,1,
21,16:25,9,64,1,4,
22,,,,,,M
23,13:00,8,25,1,2,
24,,,,,,C
25,12:05,11,41,1,3,
26,10:25,9,57,1,3,
27,16:00,7,91,3,20,
28,15:45,9,102,3,18,
29,13:45,9,94,3,14,
30,,,,,,M
31,16:00,11,135,1,4,
