date,time,ng,nf,sg,sf,remarks
1,11:05,3,35,3,28,
2,15:30,3,27,1,12,
3,15:35,3,33,2,9,
4,13:20,3,28,0,0,
5,,,,,,R
6,,,,,,M
7,,,,,,R
8,11:00,4,28,4,29,
9,13:30,6,39,4,45,
10,13:30,7,38,4,41,
11,,,,,,R
12,,,,,,R
13,,,,,,C
14,,,,,,C
15,13:15,4,19,6,31,
16,11:00,4,19,4,29,
17,12:15,3,18,4,32,
18,,,,,,R
19,9:00,7,27,4,43,
20,,,,,,R
21,14:00,7,50,6,68,
22,14:15,6,40,7,63,
23,14:40,6,55,6,61,
24,14:20,6,71,6,62,
25,13:45,6,41,7,31,
26,12:10,6,30,4,24,
27,,,,,,C
28,,,,,,R
29,15:45,3,5,2,16,
30,11:45,3,5,2,14,
