date,time,ng,nf,sg,sf,remarks
1,2:40,1,2,0,0,
2,4:20,1,2,0,0,
3,2:40,1,2,2,13,
4,3:58,1,2,2,24,
5,2:19,1,3,2,18,
6,3:10,1,3,3,19,
7,4:13,0,0,3,15,
8,2:34,0,0,3,13,
9,0:00,0,0,3,15,
10,2:59,0,0,3,18,
11,,,,,,C-R
12,,,,,,C-R
13,6:00,2,8,1,7,
14,2:24,2,14,1,9,
15,4:22,2,13,2,7,
16,4:09,2,9,2,9,
17,2:28,1,10,2,8,
18,2:40,1,12,2,8,
19,2:37,1,10,2,7,
20,,,,,,R
21,4:20,1,2,1,2,
22,3:07,1,2,1,1,
23,2:48,1,2,2,4,
24,4:28,0,0,1,1,
25,,,,,,M
26,6:52,0,0,1,5,
27,2:47,1,1,1,11,
28,3:01,0,0,2,40,
29,2:46,0,0,3,33,
30,2:45,0,0,4,45,
