date,time,ng,nf,sg,sf,remarks
1,,,,,,M
2,1:51,3,6,7,45,
3,2:50,4,24,6,50,
4,4:03,4,35,6,49,
5,4:53,3,49,5,51,
6,4:18,3,57,5,54,
7,4:30,5,71,5,60,
8,,,,,,C
9,,,,,,M
10,4:40,4,82,10,90,naked eye=1c
11,,,,,,C
12,,,,,,C
13,3:59,3,68,7,80,naked eye=2c
14,4:05,3,61,7,87,naked eye=1c
15,,,,,,M
16,2:09,2,51,7,57,
17,2:55,2,37,7,59,
18,,,,,,C
19,3:58,3,11,9,71,
20,3:59,1,2,10,72,naked eye=1c
21,2:32,1,1,10,68,naked eye=1c
22,2:12,0,0,7,81,naked eye=1c
23,,,,,,M
24,2:59,0,0,8,125,naked eye=1b
25,,,,,,C
26,,,,,,C
27,,,,,,S
28,,,,,,R-C
29,,,,,,C
30,4:08,0,0,6,140,naked eye=1c
31,0:32,0,0,8,139,naked eye=1c
