date,time,ng,nf,sg,sf,remarks
1,3:36,1,25,3,10,
2,3:44,1,18,4,16,
3,5:18,1,9,2,8,
4,2:20,1,9,2,9,
5,4:00,2,4,2,6,
6,,,,,,R
7,,,,,,C
8,2:04,1,2,1,2,
9,4:11,1,2,2,3,
10,1:50,1,3,2,5,
11,3:52,1,3,3,3,
12,3:13,2,4,0,0,
13,2:25,1,1,0,0,
14,,,,,,C
15,3:55,0,0,0,0,
16,4:09,0,0,1,1,
17,1:36,0,0,0,0,
18,4:30,0,0,2,10,
19,2:34,0,0,3,5,
20,5:44,0,0,0,0,
21,2:58,1,1,0,0,
22,2:25,1,2,0,0,
23,4:02,1,2,0,0,
24,2:57,1,3,0,0,
25,,,,,,C
26,3:02,0,0,1,21,
27,3:05,0,0,1,29,
28,5:20,0,0,1,16,
29,2:59,0,0,2,8,
30,4:01,0,0,1,4,
