date,time,ng,nf,sg,sf,remarks
1,3:10,2,11,2,14,
2,3:30,2,14,3,19,
3,3:30,2,8,3,19,
4,3:40,3,7,3,16,
5,3:11,3,8,3,10,
6,3:20,3,5,4,15,
7,3:16,3,21,3,9,
8,3:44,2,24,3,9,
9,,,,,,R
10,2:50,3,16,1,4,
11,2:00,2,14,3,6,
12,2:17,4,21,4,18,
13,2:56,4,20,4,28,
14,0:17,5,21,6,49,
15,3:20,5,32,5,61,
16,2:53,4,38,5,44,
17,,,,,,R
18,3:42,4,42,5,21,
19,3:30,6,57,5,24,
20,2:50,6,62,4,20,
21,3:30,6,73,3,13,
22,,,,,,R
23,3:00,4,23,3,6,
24,2:40,4,8,3,11,
25,4:04,1,2,2,20,
26,3:40,1,19,3,33,
27,3:33,1,20,3,25,
28,,,,,,M
29,,,,,,R
30,4:00,1,13,3,8,
