date,time,ng,nf,sg,sf,remarks
1,,,,,,R
2,9:30,4,41,4,22,
3,12:45,5,33,4,20,
4,,,,,,C
5,,,,,,R
6,,,,,,C
7,11:05,5,39,4,19,
8,,,,,,M
9,,,,,,C
10,12:50,6,51,3,14,
11,8:50,8,60,2,11,
12,10:40,6,84,2,4,萬夫氏
13,11:50,7,65,2,5,
14,13:30,7,51,2,8,
15,13:10,6,38,3,4,
16,13:45,8,25,3,3,
17,13:00,6,26,2,2,
18,15:00,3,15,2,2,
19,,,,,,M
20,,,,,,C
21,13:00,1,26,3,3,
22,14:00,1,29,3,13,萬夫氏
23,,,,,,R
24,,,,,,M
25,11:50,1,6,2,29,
26,15:45,2,16,3,42,
27,14:20,2,20,3,23,
28,15:05,2,20,4,29,
29,13:30,3,13,5,27,
30,17:15,4,10,5,35,
31,16:15,4,19,5,40,
