date,time,ng,nf,sg,sf,remarks
1,2:37,0,0,0,0,
2,3:55,0,0,0,0,
3,3:37,0,0,0,0,
4,2:16,0,0,0,0,
5,,,,,,R
6,3:40,0,0,0,0,
7,1:20,0,0,0,0,
8,2:31,0,0,0,0,
9,2:19,0,0,0,0,
10,2:45,0,0,0,0,
11,3:00,0,0,1,4,
12,3:54,0,0,1,3,
13,,,,,,M
14,,,,,,C
15,2:48,0,0,0,0,
16,2:48,0,0,0,0,
17,,,,,,C
18,2:30,0,0,0,0,
19,2:22,0,0,0,0,
20,,,,,,M
21,3:00,0,0,0,0,
22,,,,,,R
23,2:15,0,0,0,0,
24,3:47,0,0,0,0,
25,,,,,,C-R
26,3:10,0,0,0,0,
27,2:09,0,0,0,0,
28,4:02,0,0,0,0,
29,3:22,0,0,0,0,
30,3:05,0,0,0,0,
31,2:26,0,0,0,0,
