date,time,ng,nf,sg,sf,remarks
1,12:35,7,57,2,4,
2,13:00,9,75,2,4,
3,,,,,,C
4,,,,,,M
5,11:47,8,87,1,2,
6,12:35,9,72,2,3,
7,,,,,,C
8,,,,,,C
9,12:40,9,49,2,5,
10,12:50,8,49,2,2,
11,12:45,7,27,2,6,
12,,,,,,M
13,14:45,5,28,2,4,
14,15:25,3,19,3,11,
15,12:45,4,15,4,17,
16,12:50,4,11,2,24,
17,12:35,4,20,4,29,
18,13:05,6,31,4,39,
19,,,,,,C
20,12:50,6,50,5,50,
21,11:45,5,62,5,52,
22,12:55,5,61,6,40,
23,10:50,5,48,6,37,
24,14:05,5,54,6,30,
25,12:15,7,61,6,17,
26,12:50,8,42,5,19,
27,,,,,,C
28,12:35,8,25,5,18,
29,12:45,6,25,5,25,
30,,,,,,C
31,,,,,,M
