date,time,ng,nf,sg,sf,remarks
1,3:14,2,3,2,10,C
2,1:20,1,2,2,7,23
3,2:30,1,2,1,1,23
4,,,,,,20
5,,,,,,C
6,,,,,,R
7,3:10,0,0,0,0,0
8,3:10,0,0,0,0,0
9,,,,,,C
10,,,,,,R
11,,,,,,M
12,3:10,0,0,0,0,0
13,3:12,1,2,0,0,9
14,3:24,1,6,0,0,11
15,3:40,1,11,0,0,12
16,,,,,,M
17,,,,,,M
18,3:10,1,7,0,0,16
19,,,,,,S
20,3:12,1,2,0,0,16
21,,,,,,C
22,3:14,1,2,1,9,29
23,1:50,0,0,2,25,39
24,3:20,0,0,3,30,37
25,3:13,0,0,3,28,38
26,3:22,1,6,4,37,54
27,,,,,,M
28,3:34,1,8,3,36,54
29,2:10,1,6,4,49,54
30,2:50,1,5,3,45,55
