date,time,ng,nf,sg,sf,remarks
1,,,,,,C
2,7:00,0,0,0,0,
3,2:50,0,0,0,0,
4,3:00,0,0,0,0,
5,,,,,,C
6,3:05,0,0,0,0,
7,4:10,0,0,0,0,
8,1:10,0,0,0,0,
9,3:00,0,0,0,0,
10,2:40,0,0,0,0,
11,1:15,0,0,0,0,
12,2:40,0,0,0,0,
13,,,,,,C
14,1:50,0,0,0,0,
15,2:10,0,0,0,0,
16,4:05,0,0,0,0,
17,3:20,0,0,0,0,
18,,,,,,C
19,6:20,0,0,0,0,
20,4:40,0,0,0,0,
21,4:40,0,0,0,0,
22,,,,,,M
23,4:40,0,0,0,0,
24,,,,,,C
25,2:40,0,0,0,0,
26,2:30,0,0,0,0,
27,2:50,0,0,0,0,
28,,,,,,C
29,2:50,0,0,0,0,
30,2:00,0,0,0,0,
