date,time,ng,nf,sg,sf,remarks
1,,,,,,R
2,13:05,3,16,2,37,
3,13:10,5,33,3,68,
4,,,,,,C
5,12:35,5,47,2,58,
6,,,,,,C
7,12:20,7,60,3,65,
8,11:30,7,36,3,18,
9,12:20,6,57,1,8,
10,12:20,4,70,1,6,
11,,,,,,C
12,12:20,4,52,2,18,
13,12:23,4,43,2,32,
14,12:20,5,25,1,24,
15,12:45,3,21,1,24,
16,12:40,2,,1,,C
17,12:15,3,17,1,16,
18,12:20,2,17,1,18,
19,12:18,4,25,1,15,
20,12:20,6,38,1,9,
21,12:20,6,76,2,12,
22,11:30,8,70,2,8,
23,12:25,8,67,2,8,
24,12:20,7,61,2,9,
25,12:20,7,72,2,8,
26,12:25,10,77,1,3,
27,12:25,7,62,2,8,
28,,,,,,C
29,,,,,,R
30,12:20,5,53,3,10,
31,12:20,6,58,2,5,
