date,time,ng,nf,sg,sf,remarks
1,,,,,,C
2,,,,,,C
3,12:20,2,44,5,29,
4,7:30,4,46,5,27,
5,,,,,,M
6,8:00,5,35,6,31,
7,12:15,4,,5,,M
8,12:20,4,12,5,25,
9,12:35,3,12,3,21,
10,12:50,3,25,2,15,
11,12:55,2,27,2,14,
12,8:20,2,36,3,9,
13,,,,,,C
14,12:25,2,14,3,5,
15,12:15,1,15,2,4,
16,12:50,1,11,2,3,
17,12:15,1,5,2,9,
18,,,,,,R
19,12:15,2,6,2,23,
20,,,,,,R
21,,,,,,R
22,12:15,3,9,2,14,
23,13:15,2,5,2,8,
24,12:15,3,13,1,8,
25,13:00,2,12,1,6,
26,12:35,3,16,0,0,
27,11:20,3,20,0,0,
28,12:35,3,22,1,3,
29,12:40,4,24,1,3,
30,12:40,5,27,1,7,
