date,time,ng,nf,sg,sf,remarks
1,,,,,,R
2,3:20,2,6,0,0,
3,,,,,,C
4,3:51,3,18,1,4,
5,2:50,4,16,0,0,
6,4:00,3,16,0,0,
7,6:05,2,13,0,0,
8,4:29,3,17,0,0,
9,4:20,5,24,1,2,
10,,,,,,R
11,,,,,,R
12,,,,,,C
13,3:21,2,8,0,0,
14,,,,,,M
15,,,,,,M
16,2:10,1,4,2,18,
17,2:52,1,4,2,19,
18,3:02,1,2,2,14,
19,2:56,0,0,3,9,
20,3:31,0,0,3,6,
21,2:56,0,0,3,6,
22,,,,,,C-R
23,,,,,,C
24,3:31,0,0,1,2,
25,3:45,0,0,1,2,
26,,,,,,M
27,,,,,,C
28,,,,,,C
29,,,,,,R
30,5:10,5,21,2,28,
31,2:50,4,12,2,32,
