date,time,ng,nf,sg,sf,remarks
1,4:16,1,7,3,17,
2,3:43,0,0,3,18,
3,,,,,,M
4,0:37,0,0,4,34,
5,,,,,,R
6,1:41,0,0,6,47,
7,0:52,0,0,5,52,
8,,,,,,C
9,1:51,0,0,5,38,
10,1:51,0,0,4,37,
11,5:02,0,0,4,35,
12,1:13,2,5,5,34,
13,2:39,2,9,5,24,
14,3:14,3,24,4,27,
15,,,,,,R
16,,,,,,C
17,,,,,,R
18,3:00,4,14,4,15,
19,2:40,4,10,5,23,
20,,,,,,R
21,,,,,,R-C
22,,,,,,R-C
23,3:23,3,34,3,14,
24,,,,,,R-C
25,,,,,,C
26,2:39,2,27,2,16,
27,2:02,2,10,2,10,
28,0:20,2,3,2,13,
29,,,,,,M
30,2:58,1,4,5,45,
31,-7,1,10,6,56,
