date,time,ng,nf,sg,sf,remarks
1,3:20,4,25,3,12,
2,,,,,,M
3,,,,,,R
4,3:20,4,16,3,12,
5,3:16,3,9,3,11,
6,3:14,3,11,3,7,
7,1:10,2,5,2,3,不確実
8,3:12,2,5,3,10,
9,3:10,2,3,3,14,
10,,,,,,S-C
11,3:10,1,2,3,22,
12,3:10,2,,3,,M
13,3:14,3,12,3,30,
14,1:38,3,16,4,23,
15,3:12,2,11,3,12,
16,3:13,2,13,4,14,
17,3:10,2,6,4,24,
18,3:14,2,5,6,27,
19,3:19,2,4,5,23,
20,3:12,1,2,5,21,
21,0:50,1,2,4,21,
22,1:30,0,0,3,22,
23,,,,,,S
24,1:40,0,0,3,22,
25,,,,,,M
26,1:50,1,2,3,23,
27,3:14,2,3,3,21,
28,2:50,1,2,3,29,
29,,,,,,M
30,,,,,,R
31,,,,,,R
