date,time,ng,nf,sg,sf,remarks
1,,,,,,C-R
2,3:59,3,25,3,30,
3,2:58,3,30,2,24,
4,,,,,,R
5,3:32,5,38,4,16,
6,3:30,5,52,3,10,
7,,,,,,C
8,,,,,,C
9,,,,,,S
10,4:12,5,13,7,47,
11,3:30,3,6,6,55,
12,3:10,2,6,3,32,
13,,,,,,M
14,0:58,4,22,4,56,
15,2:59,4,43,6,67,
16,0:57,4,63,4,44,
17,2:25,4,83,4,68,
18,,,,,,C
19,,,,,,C
20,2:42,5,42,5,106,
21,,,,,,S
22,,,,,,C
23,1:51,3,15,4,69,
24,,,,,,C
25,,,,,,C
26,2:39,3,5,2,7,
27,2:50,2,3,2,8,
28,3:42,3,10,1,2,
29,2:33,3,8,1,3,
30,2:39,2,3,2,11,
31,2:56,1,2,3,16,
