date,time,ng,nf,sg,sf,remarks
1,4:05,2,14,0,0,
2,2:24,5,12,0,0,
3,1:45,4,21,0,0,
4,2:02,3,21,0,0,
5,2:15,2,22,0,0,
6,3:50,1,13,0,0,
7,4:02,1,4,0,0,
8,,,,,,R
9,3:47,0,0,0,0,
10,2:43,0,0,0,0,
11,2:47,0,0,1,2,
12,3:15,0,0,1,3,
13,3:38,0,0,1,7,
14,3:03,0,0,1,8,
15,,,,,,C
16,,,,,,R
17,3:08,0,0,2,27,
18,5:05,0,0,2,24,
19,4:40,0,0,2,22,
20,,,,,,C
21,4:00,0,0,2,10,
22,,,,,,C
23,,,,,,R
24,,,,,,C
25,2:35,1,16,1,4,
26,2:28,1,23,1,3,
27,4:20,2,26,1,2,
28,,,,,,R
29,2:26,3,26,0,0,
30,,,,,,R
