date,time,ng,nf,sg,sf,remarks
1,2:59,7,54,8,97,
2,,,,,,C
3,3:30,6,53,8,81,
4,3:06,6,53,8,68,
5,,,,,,R-C
6,2:41,5,19,6,53,
7,5:00,3,12,7,40,
8,3:18,4,14,6,55,
9,,,,,,M
10,,,,,,C-R
11,3:06,4,10,6,55,
12,3:20,4,18,6,56,
13,3:40,4,18,6,58,
14,4:00,7,22,5,31,
15,,,,,,R
16,5:36,7,33,4,38,
17,3:10,7,24,4,35,
18,6:38,4,24,4,19,
19,,,,,,M
20,,,,,,R-C
21,,,,,,C
22,2:01,6,57,6,52,
23,4:17,7,72,6,71,
24,3:37,7,102,7,76,
25,3:34,5,88,5,71,
26,,,,,,R
27,3:43,4,43,5,67,
28,3:09,6,39,6,80,
29,2:45,4,37,6,71,
30,,,,,,M
