date,time,ng,nf,sg,sf,remarks
1,5:09,1,19,2,7,
2,,,,,,R-C
3,,,,,,R
4,,,,,,R
5,,,,,,M
6,2:58,2,3,2,8,
7,1:01,2,6,1,5,
8,2:58,1,2,3,14,
9,4:12,2,6,2,8,
10,3:13,2,3,1,2,
11,3:50,2,5,1,3,
12,,,,,,C
13,,,,,,C
14,,,,,,C
15,2:54,0,0,1,19,
16,1:17,0,0,1,18,
17,1:11,0,0,2,26,
18,2:02,0,0,4,31,
19,1:45,0,0,3,34,
20,2:31,0,0,2,34,
21,2:32,0,0,2,45,
22,1:48,0,0,3,53,
23,2:42,1,1,4,53,
24,1:47,0,0,4,41,
25,2:58,0,0,3,30,
26,2:00,0,0,3,21,
27,3:45,0,0,2,14,
28,,,,,,C
29,,,,,,C
30,2:12,0,0,0,0,
