date,time,ng,nf,sg,sf,remarks
1,4:10,0,0,3,14,
2,4:03,1,4,2,14,
3,4:10,4,32,2,19,
4,4:12,3,63,2,11,
5,2:26,3,75,4,16,
6,1:46,3,70,5,31,
7,,,,,,R
8,2:44,5,66,2,47,
9,6:07,6,56,3,56,
10,3:42,5,36,2,69,
11,5:20,4,16,1,58,
12,0:28,4,25,1,63,
13,2:53,4,22,1,56,
14,1:26,3,18,2,47,
15,3:26,3,15,2,35,
16,,,,,,C
17,,,,,,S-C
18,3:13,4,28,4,21,
19,4:23,2,21,5,31,
20,2:50,2,12,7,35,
21,,,,,,R
22,5:39,3,22,5,37,
23,2:20,3,31,5,35,
24,3:34,2,23,4,34,
25,3:02,3,28,4,33,
26,2:24,3,24,4,19,
27,2:40,3,36,4,15,
28,,,,,,S-C
