date,time,ng,nf,sg,sf,remarks
1,3:25,5,17,5,46,肉眼黒点＝1
2,4:35,4,14,5,54,肉眼黒点＝1
3,3:26,5,18,4,51,肉眼黒点＝1
4,,,,,,S
5,3:22,4,29,2,39,
6,3:18,5,17,3,27,
7,,,,,,C
8,3:15,5,36,1,2,
9,,,,,,C
10,3:22,7,42,1,3,
11,3:20,5,28,3,8,
12,,,,,,S
13,2:30,5,14,4,13,
14,3:20,4,12,5,17,
15,3:20,8,26,4,17,
16,3:15,8,54,5,11,
17,3:30,9,69,8,33,肉眼黒点＝1
18,3:25,9,89,6,23,肉眼黒点＝1
19,,,,,,C
20,3:22,7,83,5,20,肉眼黒点＝1
21,,,,,,C
22,1:35,5,79,6,38,肉眼黒点＝1
23,4:00,4,80,3,38,肉眼黒点＝1
24,3:25,3,58,3,32,肉眼黒点＝1
25,3:22,4,50,4,32,肉眼黒点＝1
26,3:30,5,48,5,28,
27,3:25,5,34,5,20,
28,3:25,7,44,4,12,
29,,,,,,R
30,,,,,,R
31,3:25,4,71,2,17,肉眼黒点＝1
