date,time,ng,nf,sg,sf,remarks
1,0:45,2,5,1,2,
2,1:56,1,4,0,0,
3,,,,,,M
4,,,,,,R
5,2:20,0,0,2,10,
6,1:17,0,0,2,9,
7,,,,,,C-R
8,4:34,0,0,0,0,
9,2:44,0,0,1,2,
10,3:00,0,0,0,0,
11,1:20,0,0,0,0,
12,,,,,,R
13,,,,,,C
14,4:48,0,0,0,0,
15,,,,,,C-R
16,3:50,0,0,0,0,
17,2:28,0,0,0,0,
18,3:00,0,0,0,0,
19,,,,,,M
20,3:37,0,0,0,0,
21,3:25,1,7,0,0,
22,2:38,2,23,0,0,
23,2:40,1,24,0,0,naked eye=1c
24,2:46,1,27,1,1,naked eye=1b
25,3:50,1,25,0,0,naked eye=2a
26,4:10,1,29,0,0,naked eye=1b
27,5:12,1,28,0,0,naked eye=1b
28,3:04,1,24,0,0,naked eye=1c
29,3:04,1,20,0,0,
30,3:21,1,19,0,0,
