date,time,ng,nf,sg,sf,remarks
1,3:20,5,73,3,8,
2,,,,,,C-R
3,3:38,5,100,3,6,
4,4:10,5,113,2,4,
5,3:40,5,70,3,13,
6,3:03,5,62,4,11,
7,3:56,4,30,5,13,
8,,,,,,R-C
9,4:17,2,15,5,19,
10,4:26,2,8,4,14,
11,3:24,2,16,4,22,
12,,,,,,M
13,3:34,3,38,3,40,
14,4:20,3,38,5,42,
15,3:05,3,33,5,42,
16,4:35,6,44,4,37,
17,4:30,6,46,3,33,
18,3:10,8,47,1,25,
19,4:16,6,52,3,13,
20,2:58,5,36,6,14,
21,2:30,5,43,4,12,
22,,,,,,C-R
23,,,,,,R
24,,,,,,R
25,6:25,6,58,3,12,
26,2:40,6,59,3,12,
27,,,,,,C
28,3:42,7,42,3,15,
29,3:34,7,39,2,4,
30,,,,,,R
31,,,,,,C
