date,time,ng,nf,sg,sf,remarks
1,12:58,2,14,4,60,
2,,,,,,C
3,13:25,5,22,3,11,
4,12:40,5,17,2,8,
5,12:33,4,9,3,7,
6,12:35,4,21,2,16,
7,,,,,,M
8,,,,,,C
9,12:53,6,27,3,28,
10,,,,,,M
11,,,,,,M
12,12:45,7,23,4,49,
13,,,,,,C
14,,,,,,S
15,13:55,8,42,6,30,
16,12:58,7,77,4,19,
17,13:10,7,99,5,15,
18,11:45,6,117,3,9,
19,,,,,,S
20,13:57,6,96,2,11,
21,12:52,6,89,3,24,
22,12:45,3,46,3,21,
23,,,,,,C
24,12:45,3,8,4,29,
25,14:00,2,5,6,40,
26,13:02,2,4,7,61,
27,,,,,,C
28,,,,,,C
29,13:30,0,0,12,77,
30,14:20,1,1,8,67,
31,13:55,0,0,8,71,
