date,time,ng,nf,sg,sf,remarks
1,7:40,3,52,2,5,
2,4:39,2,59,1,34,
3,2:38,3,58,4,38,
4,4:13,4,70,5,44,
5,4:29,5,63,5,46,
6,,,,,,C
7,,,,,,R
8,,,,,,R
9,2:55,9,34,8,41,
10,,,,,,M
11,,,,,,C
12,,,,,,M
13,,,,,,C
14,6:02,7,97,6,43,
15,4:41,7,129,7,59,naked eye=1c
16,5:15,6,99,5,60,naked eye=1c
17,,,,,,M
18,,,,,,C
19,1:34,4,81,9,46,
20,6:39,3,51,11,52,
21,2:25,4,35,8,41,
22,5:40,3,9,4,17,
23,,,,,,M
24,,,,,,C
25,5:10,0,0,2,11,
26,,,,,,M
27,,,,,,M
28,2:12,1,6,7,37,
29,,,,,,M
30,3:55,2,25,9,43,
