date,time,ng,nf,sg,sf,remarks
1,3:14,8,50,5,94,
2,3:15,7,42,7,91,
3,3:06,3,29,6,77,
4,,,,,,R
5,2:51,3,13,5,92,
6,2:53,2,11,6,103,
7,3:21,3,9,9,117,
8,2:45,1,2,10,108,
9,3:50,1,5,12,108,
10,2:44,2,24,11,108,
11,,,,,,C
12,3:21,3,32,9,87,
13,3:56,3,23,8,90,
14,5:32,4,23,6,73,
15,,,,,,M
16,,,,,,S-C
17,,,,,,M
18,,,,,,M
19,1:10,4,93,3,51,
20,3:27,8,124,3,46,
21,3:10,7,101,2,36,
22,2:27,6,98,4,46,
23,3:50,8,91,4,48,
24,2:41,9,79,7,66,
25,,,,,,M
26,,,,,,M
27,2:35,7,62,7,78,
28,,,,,,C
29,,,,,,M
30,2:11,4,43,8,88,
31,3:30,5,42,8,92,
