date,time,ng,nf,sg,sf,remarks
1,2:58,6,85,7,72,
2,4:23,7,80,7,64,
3,,,,,,
4,2:55,8,54,6,47,
5,3:24,6,32,8,50,
6,3:07,6,28,6,58,
7,2:57,3,18,6,53,
8,4:32,3,21,6,61,
9,3:05,4,27,6,66,
10,3:02,3,17,8,87,
11,4:36,3,15,9,94,
12,,,,,,M
13,3:08,1,5,7,72,
14,1:06,3,15,7,46,
15,4:26,2,11,7,28,
16,3:31,2,5,6,16,
17,2:50,1,2,2,6,
18,,,,,,C
19,3:40,5,33,1,1,
20,1:43,5,50,2,11,
21,,,,,,C
22,3:15,5,86,5,33,
23,3:48,4,90,4,21,
24,,,,,,C-R
25,,,,,,R
26,3:05,5,96,4,16,
27,3:32,8,100,5,11,
28,3:52,9,82,4,7,
29,,,,,,M
30,,,,,,R
