date,time,ng,nf,sg,sf,remarks
1,,,,,,C
2,12:30,1,2,0,0,
3,12:30,2,5,0,0,
4,,,,,,R
5,12:30,1,2,0,0,
6,,,,,,C
7,14:20,1,3,0,0,
8,12:45,1,2,0,0,
9,10:15,2,3,0,0,
10,13:35,1,1,0,0,
11,,,,,,
12,,,,,,
13,12:13,1,1,0,0,
14,12:09,0,0,0,0,
15,,,,,,
16,12:30,1,6,0,0,
17,12:13,1,12,0,0,
18,12:14,1,17,0,0,
19,,,,,,M
20,,,,,,R
21,12:12,0,0,0,0,
22,12:14,1,4,0,0,
23,,,,,,
24,,,,,,
25,12:14,1,4,0,0,
26,,,,,,
27,12:18,1,34,0,0,
28,,,,,,
29,,,,,,
30,12:20,2,12,1,4,
31,13:50,3,6,1,6,
