date,time,ng,nf,sg,sf,remarks
1,3:18,3,13,6,17,
2,2:44,2,12,4,15,
3,3:10,1,5,3,15,
4,3:13,1,2,5,28,
5,4:40,0,0,4,36,
6,5:18,0,0,3,16,
7,3:08,0,0,3,13,
8,5:57,0,0,1,7,
9,2:31,0,0,2,15,
10,,,,,,M
11,,,,,,M
12,4:59,0,0,2,30,
13,3:48,0,0,3,31,
14,4:30,0,0,3,23,
15,3:13,2,3,4,15,
16,2:42,2,5,3,10,
17,3:16,3,20,2,18,
18,2:52,3,22,2,8,
19,1:49,3,19,2,15,
20,,,,,,C-R
21,,,,,,R
22,3:38,3,22,3,13,
23,,,,,,M
24,,,,,,R
25,,,,,,R
26,5:10,2,71,3,17,
27,3:39,2,70,5,18,
28,7:00,1,53,4,22,
29,4:16,1,46,6,17,
30,3:21,1,33,4,19,
