date,time,ng,nf,sg,sf,remarks
1,2:20,2,4,3,24,
2,2:40,2,4,3,24,
3,,,,,,C
4,2:15,6,20,3,43,
5,3:00,4,21,3,38,
6,,,,,,C
7,2:28,4,21,2,8,
8,3:01,5,19,1,14,
9,2:42,4,16,2,6,
10,,,,,,C
11,4:12,3,14,0,0,
12,3:00,3,14,1,6,
13,,,,,,M
14,3:11,2,13,3,27,
15,2:41,2,18,4,32,
16,,,,,,M
17,2:20,4,21,5,37,
18,,,,,,C
19,3:10,3,20,4,54,
20,,,,,,C
21,,,,,,R-C
22,,,,,,C
23,5:17,1,4,4,23,
24,3:01,1,2,4,16,
25,2:20,1,2,3,9,
26,2:43,1,2,2,4,
27,2:19,2,5,3,6,
28,,,,,,C
29,,,,,,C-R
30,,,,,,R
