date,time,ng,nf,sg,sf,remarks
1,5:00,3,18,3,17,
2,2:45,3,15,2,16,
3,3:35,3,13,2,14,
4,,,,,,C
5,2:45,4,12,1,2,
6,3:15,4,24,2,10,
7,5:00,6,27,2,15,
8,2:45,6,27,2,14,
9,,,,,,C
10,4:20,4,22,2,15,A
11,,,,,,R
12,4:25,3,10,1,6,A
13,5:25,2,6,2,11,
14,1:08,2,4,2,15,A
15,3:30,2,5,2,28,
16,,,,,,M
17,4:35,4,21,1,21,
18,0:50,3,23,2,28,A
19,1:45,4,20,1,34,
20,7:15,5,30,1,28,
21,,,,,,R
22,3:55,7,50,1,8,
23,5:10,6,42,2,7,A
24,5:35,5,48,3,17,A
25,5:50,4,33,3,21,A
26,,,,,,R
27,4:30,6,30,3,43,
28,1:20,5,29,3,33,
29,,,,,,C
30,7:00,5,71,4,51,
31,,,,,,C
