date,time,ng,nf,sg,sf,remarks
1,,,,,,C
2,,,,,,C
3,2:10,5,23,9,58,naked eye=1b
4,3:57,6,22,8,84,naked eye=1b
5,0:34,6,26,10,81,naked eye=1c
6,,,,,,C-R
7,,,,,,M
8,1:40,5,15,9,119,naked eye=1a
9,0:53,7,19,9,106,naked eye=1a
10,2:00,5,17,8,78,naked eye=1a
11,,,,,,M
12,1:01,6,36,6,66,naked eye=1b
13,1:10,9,49,6,59,naked eye=1c
14,,,,,,C
15,,,,,,C-R
16,,,,,,C
17,1:19,11,131,2,8,naked eye=1a
18,2:10,9,132,2,3,naked eye=1a
19,2:12,10,136,3,8,naked eye=1a
20,1:27,8,113,3,11,naked eye=1c
21,,,,,,M
22,1:07,9,68,4,14,
23,2:23,9,34,4,14,
24,3:40,9,24,4,15,
25,2:00,4,15,6,18,
26,,,,,,M
27,,,,,,M
28,,,,,,M
29,2:30,4,10,3,16,
30,,,,,,M
31,1:00,3,11,3,59,
