date,time,ng,nf,sg,sf,remarks
1,2:45,4,31,1,23,
2,1:45,5,32,1,8,
3,,,,,,C
4,2:10,5,28,1,5,
5,3:23,3,14,1,25,
6,3:22,3,11,1,44,
7,3:20,3,8,1,50,肉眼黒点＝1
8,,,,,,M
9,3:20,3,7,2,57,肉眼黒点＝1
10,2:13,3,6,3,81,肉眼黒点＝1
11,3:22,2,4,4,45,肉眼黒点＝1
12,3:23,2,7,5,54,肉眼黒点＝1
13,,,,,,C
14,3:20,4,10,5,33,
15,3:50,6,21,3,13,
16,3:33,3,35,1,5,
17,3:36,4,43,0,0,
18,3:23,5,41,1,5,
19,3:25,5,63,1,12,肉眼黒点＝1
20,3:42,7,89,2,19,肉眼黒点＝1
21,,,,,,R
22,,,,,,C
23,3:24,6,83,1,25,肉眼黒点＝2
24,2:12,6,65,2,39,肉眼黒点＝1
25,,,,,,M
26,3:20,4,27,2,36,
27,3:30,6,30,3,49,
28,3:30,5,37,2,31,
29,3:46,4,39,2,33,
30,,,,,,M
31,,,,,,M
