date,time,ng,nf,sg,sf,remarks
1,3:39,1,10,0,0,
2,,,,,,C
3,3:43,1,13,0,0,
4,3:48,1,9,0,0,
5,4:15,2,4,0,0,
6,1:44,2,16,0,0,
7,3:02,1,15,1,1,
8,4:31,1,11,0,0,
9,2:51,0,0,1,1,
10,,,,,,C
11,3:20,1,1,0,0,
12,4:09,0,0,0,0,
13,2:45,0,0,1,1,
14,3:16,0,0,0,0,
15,3:09,0,0,1,1,
16,3:40,1,9,1,3,
17,4:10,1,2,1,1,
18,1:39,0,0,1,1,
19,3:09,0,0,0,0,
20,2:54,0,0,1,1,
21,4:57,0,0,0,0,
22,,,,,,C
23,4:03,1,5,0,0,
24,3:11,2,14,1,9,
25,2:11,1,16,1,13,
26,3:48,3,14,1,6,
27,3:16,2,15,1,3,
28,1:52,2,13,0,0,
29,4:14,1,9,0,0,
30,3:10,2,10,0,0,
31,,,,,,R
