date,time,ng,nf,sg,sf,remarks
1,2:13,0,0,0,0,
2,3:35,0,0,1,2,
3,2:23,0,0,1,4,
4,2:36,1,2,1,3,
5,2:26,1,4,1,1,
6,3:08,0,0,0,0,
7,,,,,,C
8,3:42,0,0,0,0,
9,2:50,0,0,0,0,
10,3:26,0,0,0,0,
11,2:50,0,0,1,2,
12,,,,,,R
13,2:10,0,0,0,0,
14,4:50,0,0,0,0,
15,2:30,0,0,0,0,
16,2:25,0,0,0,0,
17,2:32,0,0,0,0,
18,3:40,0,0,0,0,
19,2:12,0,0,0,0,
20,,,,,,C-S
21,,,,,,C
22,2:50,0,0,0,0,
23,,,,,,S
24,2:32,0,0,0,0,
25,7:00,0,0,0,0,
26,4:47,0,0,0,0,
27,2:18,0,0,0,0,
28,3:10,0,0,0,0,
29,,,,,,S-R
30,2:36,0,0,1,6,
31,3:00,0,0,1,7,
