date,time,ng,nf,sg,sf,remarks
1,,,,,,M
2,,,,,,C-S
3,3:30,5,23,4,19,
4,3:30,3,15,4,26,
5,3:25,3,18,5,41,
6,3:10,3,20,4,37,
7,3:22,3,20,4,38,
8,,,,,,C
9,3:25,3,64,2,25,
10,3:23,3,84,3,35,
11,3:30,3,90,4,34,
12,3:22,3,66,3,33,
13,,,,,,M
14,3:18,4,49,1,12,
15,3:17,5,48,1,10,
16,3:20,4,43,3,10,
17,,,,,,C
18,3:20,3,35,2,6,肉眼黒点＝1
19,,,,,,M
20,,,,,,C
21,3:00,4,65,3,23,
22,,,,,,C
23,,,,,,C
24,,,,,,M
25,3:24,5,22,1,10,
26,,,,,,M
27,3:02,5,18,1,1,
28,3:15,5,17,1,2,
29,3:20,5,28,2,14,
30,3:20,6,27,1,22,
31,,,,,,S
