date,time,ng,nf,sg,sf,remarks
1,4:01,2,11,1,4,
2,3:22,2,11,1,11,
3,3:17,2,6,1,7,
4,3:01,2,4,1,20,
5,2:12,1,3,1,11,
6,2:46,1,2,1,8,
7,,,,,,M
8,,,,,,M
9,5:20,1,2,0,0,
10,2:39,2,5,0,0,
11,3:17,2,4,0,0,
12,3:04,2,4,0,0,
13,3:05,1,2,0,0,
14,3:00,0,0,0,0,
15,,,,,,C
16,,,,,,M
17,2:10,1,2,1,2,
18,2:05,1,2,1,6,
19,2:49,1,6,1,2,
20,3:30,1,8,1,2,
21,2:10,2,11,0,0,
22,4:00,2,13,0,0,
23,2:16,2,15,0,0,
24,2:50,2,15,0,0,
25,2:20,2,12,0,0,
26,5:10,2,7,0,0,
27,2:30,2,4,0,0,
28,3:04,0,0,0,0,
29,3:00,0,0,1,3,
30,2:20,0,0,1,8,
31,3:44,0,0,1,12,
