date,time,ng,nf,sg,sf,remarks
1,1:30,2,7,0,0,
2,4:20,1,2,0,0,
3,1:45,1,1,0,0,
4,3:53,0,0,0,0,
5,2:29,0,0,0,0,
6,,,,,,C
7,1:10,0,0,0,0,
8,2:20,0,0,0,0,
9,6:43,0,0,0,0,
10,0:25,0,0,0,0,
11,,,,,,M
12,1:04,0,0,0,0,
13,2:16,0,0,0,0,
14,4:03,0,0,0,0,
15,2:32,1,2,0,0,
16,4:24,0,0,1,2,
17,,,,,,S
18,,,,,,S-C
19,5:45,0,0,0,0,
20,2:30,1,3,0,0,
21,1:38,1,6,0,0,
22,1:57,1,2,0,0,
23,2:54,1,3,0,0,
24,0:52,3,14,0,0,
25,4:20,1,9,0,0,
26,2:54,1,8,0,0,
27,6:55,1,2,0,0,
28,1:54,0,0,0,0,
29,1:31,0,0,1,5,
