date,time,ng,nf,sg,sf,remarks
1,13:50,8,31,3,25,
2,,,,,,M
3,10:40,3,11,2,10,
4,,,,,,R
5,11:00,4,14,2,11,
6,12:50,3,8,2,18,
7,12:10,3,9,2,28,
8,12:20,6,19,3,46,
9,,,,,,C
10,,,,,,R
11,,,,,,C
12,,,,,,C
13,,,,,,
14,13:20,4,20,0,0,
15,,,,,,C
16,,,,,,S
17,12:50,3,10,1,3,
18,,,,,,R
19,,,,,,R
20,13:05,4,7,2,6,
21,11:50,2,5,3,13,
22,12:50,3,8,4,20,
23,13:15,4,17,5,32,
24,12:45,4,12,4,15,
25,12:50,4,16,3,13,
26,11:55,4,22,4,15,
27,12:55,2,18,2,8,
28,,,,,,C
29,14:40,4,34,2,23,
30,12:35,4,23,2,32,
