date,time,ng,nf,sg,sf,remarks
1,3:14,1,17,5,28,
2,3:20,2,19,5,39,
3,3:18,2,13,3,44,
4,3:20,3,12,4,37,肉眼黒点＝1
5,3:13,2,8,5,55,肉眼黒点＝1
6,3:13,1,3,3,49,肉眼黒点＝1
7,3:20,2,5,3,76,肉眼黒点＝1
8,,,,,,M
9,3:18,2,18,4,58,肉眼黒点＝1
10,3:22,2,24,4,34,
11,3:20,2,26,3,35,
12,3:54,3,42,3,28,
13,,,,,,M
14,3:16,4,51,4,14,
15,3:20,6,63,4,12,
16,3:18,4,54,3,8,
17,,,,,,M
18,3:20,5,39,4,27,
19,3:53,5,30,5,35,
20,,,,,,R
21,,,,,,M
22,3:20,2,42,3,28,
23,,,,,,R
24,,,,,,R-C
25,3:14,4,51,4,18,
26,,,,,,R
27,3:20,2,13,1,4,
28,3:10,1,7,2,3,
29,,,,,,C
30,,,,,,R
31,3:14,0,0,4,19,
