date,time,ng,nf,sg,sf,remarks
1,2:20,3,6,1,3,
2,2:25,3,6,1,1,
3,3:00,3,6,0,0,
4,2:29,3,10,1,8,
5,2:06,3,8,1,12,
6,2:56,3,8,1,22,
7,2:20,4,12,1,31,
8,3:20,3,6,1,27,
9,5:07,2,4,1,28,
10,3:14,2,4,1,29,
11,3:00,2,4,1,21,
12,,,,,,C
13,,,,,,C
14,5:01,1,6,1,5,
15,2:39,1,2,1,9,
16,3:42,1,2,1,7,
17,,,,,,R
18,2:55,0,0,1,6,
19,3:10,0,0,2,11,
20,5:20,0,0,2,26,
21,,,,,,C
22,5:39,1,2,1,31,
23,2:21,1,4,1,32,
24,2:38,1,2,1,36,
25,,,,,,C
26,,,,,,C
27,3:06,0,0,1,27,
28,3:31,0,0,1,19,
29,,,,,,R-C
30,,,,,,R
31,,,,,,C
