date,time,ng,nf,sg,sf,remarks
1,,,,,,R
2,,,,,,C
3,1:23,5,27,2,7,
4,2:50,3,11,3,8,
5,4:10,4,18,2,12,
6,2:53,3,20,1,10,
7,4:09,3,25,1,5,
8,,,,,,M
9,,,,,,R
10,4:30,1,19,2,5,
11,4:40,2,20,2,8,
12,,,,,,C
13,,,,,,C
14,2:33,3,21,3,22,
15,2:31,3,8,4,20,
16,2:27,1,2,4,24,
17,,,,,,C
18,2:42,0,0,5,20,
19,2:27,0,0,2,19,
20,,,,,,C
21,2:35,0,0,2,25,
22,2:20,0,0,2,25,
23,2:06,0,0,3,28,
24,2:30,1,2,3,36,
25,,,,,,R
26,,,,,,R
27,2:28,3,24,4,20,
28,3:11,3,26,3,22,
29,5:20,4,26,4,20,
30,1:14,3,22,3,27,
