date,time,ng,nf,sg,sf,remarks
1,2:22,3,9,7,32,
2,,,,,,R
3,1:19,3,21,5,37,
4,1:08,2,26,6,28,
5,1:56,3,23,4,22,
6,-58,5,32,4,15,
7,,,,,,R
8,4:33,3,48,2,5,
9,,,,,,R
10,3:03,3,21,4,14,
11,,,,,,R
12,1:28,2,26,3,18,
13,,,,,,M
14,,,,,,M
15,,,,,,M
16,2:03,5,36,5,74,
17,3:24,7,43,7,93,
18,,,,,,C
19,,,,,,M
20,,,,,,M
21,4:43,8,54,9,77,
22,0:56,5,35,11,73,
23,,,,,,M
24,,,,,,R
25,0:06,7,22,7,40,
26,1:50,6,18,6,24,
27,0:23,5,23,4,30,
28,0:24,5,23,5,24,
29,4:44,5,18,5,16,
30,,,,,,R
31,0:37,5,16,6,9,
