date,time,ng,nf,sg,sf,remarks
1,0:12,8,59,1,11,
2,2:03,9,55,4,17,
3,3:58,10,61,4,23,
4,4:06,13,64,3,18,
5,0:16,9,70,3,14,
6,,,,,,C
7,,,,,,R
8,0:08,11,99,6,27,
9,3:22,9,79,3,15,
10,,,,,,C
11,5:01,10,92,4,13,
12,,,,,,R
13,3:38,8,92,3,6,
14,4:42,7,109,3,7,
15,,,,,,C
16,,,,,,C
17,,,,,,C
18,0:14,4,101,3,22,
19,0:17,5,85,3,21,
20,1:39,3,32,2,21,
21,0:36,3,23,5,25,
22,1:18,7,24,4,19,
23,0:13,7,27,5,16,
24,,,,,,R
25,2:39,3,48,4,10,
26,2:44,4,58,4,15,
27,0:15,5,73,3,12,
28,,,,,,C
29,1:24,4,44,2,17,
30,2:30,3,36,2,12,
31,2:45,6,36,3,12,
