date,time,ng,nf,sg,sf,remarks
1,4:23,2,7,0,0,
2,,,,,,R
3,,,,,,M
4,1:24,1,2,0,0,
5,2:09,1,2,1,7,
6,2:40,1,2,1,15,
7,,,,,,R
8,2:50,0,0,4,32,
9,0:05,0,0,4,45,
10,,,,,,M
11,4:42,0,0,3,45,
12,1:20,1,2,3,34,
13,2:31,1,2,4,41,
14,3:32,1,2,4,38,
15,2:32,1,4,4,29,
16,1:46,1,4,4,29,
17,2:27,0,0,3,22,
18,2:42,0,0,2,16,
19,5:00,0,0,2,10,
20,0:14,0,0,1,2,
21,0:13,0,0,1,3,
22,3:50,1,2,0,0,
23,0:00,2,4,1,1,
24,1:51,2,10,1,1,
25,5:00,2,6,0,0,
26,,,,,,C-R
27,2:00,1,2,0,0,
28,2:50,1,3,0,0,
29,3:13,1,2,1,4,
30,2:46,1,3,1,6,
