date,time,ng,nf,sg,sf,remarks
1,3:20,5,26,5,24,
2,3:11,3,25,6,26,
3,3:50,3,40,6,18,
4,,,,,,C
5,6:15,5,53,5,14,
6,3:45,5,54,6,21,
7,,,,,,C
8,6:50,6,46,6,18,
9,2:12,5,33,3,12,
10,3:00,6,15,3,9,
11,2:15,6,31,3,11,
12,4:50,3,19,4,9,
13,,,,,,C
14,3:10,5,37,5,41,
15,3:46,8,55,5,61,
16,5:30,6,47,5,65,
17,,,,,,C-R
18,2:58,7,58,5,112,
19,2:16,5,48,7,115,
20,3:00,9,63,9,101,
21,4:05,7,48,10,91,
22,,,,,,M
23,5:35,6,44,5,50,
24,3:07,7,49,7,53,
25,3:06,6,47,8,40,
26,3:40,7,31,5,20,
27,3:02,5,34,5,25,
28,3:00,4,24,3,25,
29,,,,,,R
30,3:05,3,12,4,22,
