date,time,ng,nf,sg,sf,remarks
1,,,,,,M
2,14:00,4,33,9,164,
3,,,,,,M
4,10:50,5,35,11,102,
5,,,,,,R
6,14:30,8,62,10,113,
7,14:05,7,54,7,118,
8,,,,,,C
9,,,,,,M
10,10:15,7,41,5,26,
11,15:00,6,50,5,27,
12,9:45,6,49,5,19,
13,,,,,,R
14,,,,,,M
15,,,,,,C
16,,,,,,M
17,,,,,,M
18,,,,,,M
19,10:30,8,85,5,42,
20,14:00,7,133,6,37,萬夫氏代理
21,11:00,7,99,7,70,
22,,,,,,M
23,12:15,6,125,7,93,
24,11:30,7,100,8,65,
25,14:30,7,101,9,99,
26,,,,,,R
27,,,,,,M
28,,,,,,C
29,12:30,6,47,8,38,
30,11:45,6,45,9,50,
31,13:30,4,36,8,82,
