date,time,ng,nf,sg,sf,remarks
1,2:30,3,20,4,21,
2,,,,,,M
3,4:20,2,7,3,14,
4,,,,,,C
5,,,,,,R
6,,,,,,R-C
7,2:03,1,1,3,12,
8,2:39,0,0,4,9,
9,3:30,0,0,4,21,
10,4:09,0,0,2,11,
11,2:20,0,0,2,7,
12,4:30,0,0,2,4,
13,,,,,,R-C
14,,,,,,R-C
15,,,,,,C-R
16,2:25,1,2,2,5,
17,0:43,0,0,3,6,
18,4:49,0,0,3,18,
19,1:17,1,6,3,30,
20,,,,,,C-R
21,,,,,,C-R
22,,,,,,R
23,6:20,2,11,3,50,
24,3:23,2,7,3,57,
25,6:34,2,9,3,48,
26,2:05,2,7,4,42,
27,2:06,1,4,4,44,
28,5:25,1,4,4,32,
29,4:27,1,4,5,24,
30,4:54,1,2,7,20,
31,,,,,,C
