date,time,ng,nf,sg,sf,remarks
1,2:17,1,5,5,38,
2,3:10,1,4,7,48,
3,2:30,0,0,6,31,
4,3:58,0,0,8,32,
5,2:39,0,0,7,24,
6,,,,,,C
7,,,,,,M
8,,,,,,M
9,,,,,,M
10,,,,,,M
11,,,,,,C
12,5:00,3,14,5,23,
13,,,,,,C
14,,,,,,C
15,2:41,5,17,4,22,
16,4:22,2,5,4,18,
17,,,,,,C
18,,,,,,C-S
19,,,,,,S-R
20,,,,,,C
21,1:49,2,6,6,43,
22,2:40,1,2,5,39,
23,4:09,0,0,5,32,
24,2:34,0,0,8,34,
25,2:40,0,0,6,18,
26,,,,,,C-R
27,,,,,,C
28,3:40,0,0,5,35,
29,2:52,1,2,4,35,
30,3:53,0,0,4,35,
31,2:21,0,0,5,32,
