date,time,ng,nf,sg,sf,remarks
1,4:05,3,33,1,9,
2,2:20,3,27,1,5,
3,4:38,3,27,1,18,
4,3:07,5,24,1,14,
5,3:32,5,31,2,14,
6,,,,,,C
7,4:41,8,42,2,7,
8,,,,,,C
9,4:00,5,15,4,11,
10,2:14,3,12,3,25,
11,3:15,2,16,6,41,
12,,,,,,C
13,,,,,,C
14,,,,,,M
15,3:23,6,28,7,115,
16,,,,,,M
17,,,,,,C
18,3:30,4,22,6,94,
19,3:05,4,24,6,79,
20,3:10,4,27,5,48,
21,3:58,4,32,3,34,
22,3:05,4,36,6,31,
23,,,,,,S
24,,,,,,C
25,3:30,4,22,4,31,
26,2:16,3,21,4,21,
27,2:30,2,21,5,19,
28,3:15,2,25,3,20,
29,3:32,1,9,5,30,
30,,,,,,M
31,1:45,2,15,3,16,
