date,time,ng,nf,sg,sf,remarks
1,1:19,12,84,2,22,
2,,,,,,M
3,2:43,9,97,4,19,
4,,,,,,M
5,3:31,8,121,4,22,
6,4:23,5,91,3,46,
7,,,,,,C
8,3:01,5,64,3,84,
9,0:50,4,47,3,92,
10,3:53,4,31,5,84,
11,1:10,4,21,3,99,
12,4:25,2,18,3,95,
13,4:53,2,7,2,70,
14,1:35,3,16,3,70,
15,1:30,3,20,2,58,
16,,,,,,M
17,,,,,,C
18,1:55,6,63,3,13,
19,3:59,5,65,3,8,
20,1:25,5,71,3,6,
21,,,,,,C-R
22,,,,,,C
23,2:40,5,53,3,9,
24,3:45,5,46,4,12,
25,,,,,,C
26,3:52,7,42,4,16,
27,0:44,10,38,6,28,
28,,,,,,C
29,3:46,8,59,3,24,
30,,,,,,C
