date,time,ng,nf,sg,sf,remarks
1,,,,,,S
2,2:24,4,21,6,66,
3,2:49,5,25,6,44,
4,3:36,6,21,6,39,
5,1:56,5,21,6,35,
6,1:57,9,43,5,43,
7,1:49,6,29,6,48,
8,2:25,5,45,4,31,
9,2:30,5,57,3,18,
10,1:55,6,77,3,19,
11,2:52,8,82,4,22,naked eye=1c
12,0:33,7,67,4,14,naked eye=1c
13,5:36,5,86,4,15,
14,,,,,,M
15,,,,,,C
16,4:32,6,99,1,16,
17,,,,,,S
18,,,,,,M
19,,,,,,M
20,,,,,,C
21,1:35,7,65,3,14,
22,1:03,6,60,3,14,
23,,,,,,S
24,,,,,,C
25,,,,,,C
26,1:47,3,19,5,58,
27,2:38,2,12,7,80,
28,2:41,4,10,7,104,naked eye=2c
