date,time,ng,nf,sg,sf,remarks
1,2:19,5,26,5,15,
2,1:55,5,31,4,8,
3,2:13,6,45,5,11,
4,,,,,,C
5,4:21,5,28,5,14,
6,4:38,2,31,5,14,
7,2:08,1,32,5,15,
8,2:17,3,38,4,15,
9,5:05,3,29,5,21,
10,1:23,1,12,7,23,
11,2:35,0,0,4,20,
12,,,,,,R
13,2:30,0,0,4,24,
14,1:52,1,2,3,25,
15,3:00,2,13,3,36,
16,4:54,2,16,3,23,
17,2:46,4,22,6,37,
18,,,,,,S
19,4:33,5,17,5,51,
20,2:35,5,20,6,39,
21,4:13,6,16,6,36,
22,3:11,6,24,5,27,
23,3:42,4,20,4,19,
24,,,,,,C
25,1:50,5,23,2,12,
26,2:17,6,43,2,9,
27,3:08,4,35,6,27,
28,3:36,6,33,4,42,
29,4:03,8,47,5,62,
30,2:49,8,69,6,86,naked eye=2c
31,1:34,9,86,7,103,naked eye=2c
