date,time,ng,nf,sg,sf,remarks
1,-46,4,16,8,24,
2,-23,7,33,8,17,
3,2:12,7,52,10,30,
4,4:04,7,57,11,37,
5,2:16,8,64,9,43,
6,3:44,7,77,7,35,
7,3:28,6,82,7,44,
8,4:43,7,86,6,67,
9,,,,,,C
10,0:34,10,96,8,56,
11,,,,,,M
12,1:45,9,87,4,13,
13,2:14,9,83,3,8,
14,1:32,6,75,1,2,
15,2:30,6,97,0,0,
16,,,,,,M
17,6:00,4,92,1,17,
18,1:23,4,110,1,15,
19,2:07,6,115,1,16,
20,1:31,4,96,2,12,
21,5:05,5,83,2,8,
22,1:52,4,58,2,23,
23,,,,,,M
24,0:12,2,26,4,51,
25,2:16,2,12,6,66,
26,,,,,,C
27,,,,,,S
28,,,,,,M
29,4:41,3,4,7,79,
30,4:35,2,4,8,76,
31,1:28,1,5,12,59,
