date,time,ng,nf,sg,sf,remarks
1,1:15,3,9,2,3,
2,1:54,2,8,0,0,
3,3:32,2,26,0,0,
4,,,,,,M
5,0:47,2,19,0,0,
6,,,,,,M
7,0:08,3,9,0,0,
8,0:02,2,11,0,0,
9,,,,,,R
10,,,,,,C
11,0:04,4,39,0,0,
12,3:40,3,50,0,0,1
13,0:01,3,59,0,0,
14,0:02,2,64,0,0,
15,2:49,2,62,0,0,
16,0:03,3,70,0,0,
17,0:05,3,61,0,0,
18,3:17,3,42,1,2,
19,,,,,,R
20,1:28,3,26,1,29,
21,0:17,2,14,1,28,
22,,,,,,
23,0:19,1,3,1,25,
24,4:14,2,9,2,14,
25,,,,,,C
26,-51,2,32,2,7,
27,1:39,3,24,2,5,
28,2:05,4,20,1,3,
29,,,,,,R
30,3:04,3,31,1,6,
